date,sitrep_number,confirmed_cases_cumulative,confirmed_deaths_cumulative,new_confirmed_cases_reported,daily_deaths_reported,source_url,source_data_as_of_date,curation_date,notes
2026-09-10,119,7022,3398,80,49,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_119_10_09_2026-1.pdf,2026-09-10,2026-09-15,The SitRep directly reports 80 newly confirmed cases and 49 deaths (31 community deaths plus 18 confirmed deaths in treatment centres). Bulu in Sud-Ubangi is newly affected: one confirmed case and death; 62 affected health zones across seven provinces.
2026-09-11,120,7113,3437,91,39,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_120_11_09_2026.pdf,2026-09-11,2026-09-15,The SitRep directly reports 91 newly confirmed cases and 39 deaths (32 community deaths plus 7 confirmed deaths in treatment centres).
2026-09-12,121,7200,3475,87,38,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_121_12_09_2026.pdf,2026-09-12,2026-09-15,"The SitRep directly reports 87 newly confirmed cases and 38 deaths (28 community deaths plus 10 confirmed deaths in treatment centres). Contact follow-up is internally inconsistent: cover 88.0%, page 4 91.3% (24476/26816), but provincial denominators sum to 27816. No performance inference is made."
2026-09-13,122,7258,3510,58,35,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_122_13_09_2026.pdf,2026-09-13,2026-09-18,The SitRep directly reports 58 newly confirmed cases and 35 deaths (23 community deaths plus 12 confirmed deaths in treatment centres). Cumulative recoveries: 1726; patients in isolation or treatment centres: 905; 62 affected health zones across seven provinces.
2026-09-14,123,7345,3545,87,35,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_123_14_09_2026.pdf,2026-09-14,2026-09-18,The SitRep directly reports 87 newly confirmed cases and 35 deaths (26 community deaths plus 9 confirmed deaths in treatment centres). Cumulative recoveries: 1753; patients in isolation or treatment centres: 938; no new health zone.
2026-09-15,124,7404,3577,59,32,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_124_15_09_2026.pdf,2026-09-15,2026-09-18,The SitRep directly reports 59 newly confirmed cases and 32 deaths (16 community deaths plus 16 confirmed deaths in treatment centres). Cumulative recoveries: 1776; patients in isolation or treatment centres: 930; no new health zone.
2026-09-16,125,7475,3605,71,28,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_125_16_09_2026.pdf,2026-09-16,2026-09-18,The SitRep directly reports 71 newly confirmed cases and 28 deaths (18 community deaths plus 10 confirmed deaths in treatment centres). Cumulative recoveries: 1798; patients in isolation or treatment centres: 905; 62 affected health zones across seven provinces and no new health zone.
2026-09-17,126,7541,3639,66,34,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_126_17_09_2026.pdf,2026-09-17,2026-09-22,The SitRep directly reports 66 newly confirmed cases and 34 deaths (16 community deaths plus 18 confirmed deaths in treatment centres). Cumulative recoveries: 1823; patients in isolation or treatment centres: 930; 62 affected health zones across seven provinces.
2026-09-18,127,7614,3676,73,37,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_127_18_09_2026.pdf,2026-09-18,2026-09-22,"The SitRep directly reports 73 newly confirmed cases and 37 deaths (25 community deaths plus 12 confirmed deaths in treatment centres). Cumulative recoveries: 1864; patients in isolation or treatment centres: 909; 63 affected health zones across seven provinces. Dungu in Haut-Uélé newly affected; the zone borders South Sudan, but no case in South Sudan is reported."
2026-09-19,128,7672,3699,58,23,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_128_19_09_2026.pdf,2026-09-19,2026-09-22,The SitRep directly reports 58 newly confirmed cases and 23 deaths (13 community deaths plus 10 confirmed deaths in treatment centres). Cumulative recoveries: 1879; patients in isolation or treatment centres: 886; 63 affected health zones across seven provinces.
2026-09-20,129,7733,3732,61,33,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_129_20_09_2026.pdf,2026-09-20,2026-09-25,The SitRep directly reports 61 newly confirmed cases and 33 deaths (22 community deaths plus 11 confirmed deaths in treatment centres). Cumulative recoveries: 1902; patients in isolation or treatment centres: 821; 63 affected health zones across seven provinces.
2026-09-21,130,7773,3759,40,27,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_130_21_09_2026.pdf,2026-09-21,2026-09-25,The SitRep directly reports 40 newly confirmed cases and 27 deaths (14 community deaths plus 13 confirmed deaths in treatment centres). Cumulative recoveries: 1935; patients in isolation or treatment centres: 839; 63 affected health zones across seven provinces.
2026-09-22,131,7820,3779,47,20,https://insp.cd/wp-content/uploads/2026/09/SitRep_MVEBDB_131_22_09_2026.pdf,2026-09-22,2026-09-25,The SitRep directly reports 47 newly confirmed cases and 20 deaths (13 community deaths plus 7 confirmed deaths in treatment centres). Cumulative recoveries: 1951; patients in isolation or treatment centres: 885; 63 affected health zones across seven provinces. Sud Ubangi reports its second confirmed case; the report does not establish local transmission or a newly affected zone.
